"rules","support","confidence","coverage","lift","count"
"1","{ChildBks,RefBks,ItalCook,ItalAtlas} => {CookBks}",0.02,1,0.02,2.32018561484919,40
"2","{CookBks,RefBks,ItalCook,ItalAtlas} => {ChildBks}",0.02,0.869565217391304,0.023,2.05570973378559,40
"3","{ChildBks,CookBks,ItalCook,ItalAtlas} => {RefBks}",0.02,1,0.02,4.66200466200466,40
"4","{ChildBks,CookBks,RefBks,ItalAtlas} => {ItalCook}",0.02,0.888888888888889,0.0225,7.83162016642193,40
"5","{DoItYBks,ArtBks,ItalCook,ItalArt} => {CookBks}",0.025,1,0.025,2.32018561484919,50
"6","{CookBks,ArtBks,ItalCook,ItalArt} => {DoItYBks}",0.025,0.666666666666667,0.0375,2.36406619385343,50
"7","{CookBks,DoItYBks,ItalCook,ItalArt} => {ArtBks}",0.025,1,0.025,4.149377593361,50
"8","{CookBks,DoItYBks,ArtBks,ItalArt} => {ItalCook}",0.025,0.925925925925926,0.027,8.15793767335618,50
"9","{CookBks,DoItYBks,ArtBks,ItalCook} => {ItalArt}",0.025,0.684931506849315,0.0365,14.1222991102952,50
"10","{ArtBks,GeogBks,ItalCook,ItalArt} => {CookBks}",0.024,1,0.024,2.32018561484919,48
"11","{CookBks,ArtBks,ItalCook,ItalArt} => {GeogBks}",0.024,0.64,0.0375,2.31884057971015,48
"12","{CookBks,GeogBks,ItalCook,ItalArt} => {ArtBks}",0.024,1,0.024,4.149377593361,48
"13","{CookBks,ArtBks,GeogBks,ItalArt} => {ItalCook}",0.024,0.96,0.025,8.45814977973568,48
"14","{CookBks,ArtBks,GeogBks,ItalCook} => {ItalArt}",0.024,0.666666666666667,0.036,13.745704467354,48
"15","{ChildBks,ArtBks,ItalCook,ItalArt} => {CookBks}",0.0285,1,0.0285,2.32018561484919,57
"16","{CookBks,ArtBks,ItalCook,ItalArt} => {ChildBks}",0.0285,0.76,0.0375,1.79669030732861,57
"17","{ChildBks,CookBks,ItalCook,ItalArt} => {ArtBks}",0.0285,1,0.0285,4.149377593361,57
"18","{ChildBks,CookBks,ArtBks,ItalArt} => {ItalCook}",0.0285,0.95,0.03,8.37004405286344,57
"19","{ChildBks,CookBks,ArtBks,ItalCook} => {ItalArt}",0.0285,0.626373626373626,0.0455,12.914920131415,57
"20","{ChildBks,DoItYBks,ArtBks,ItalArt} => {CookBks}",0.02,0.909090909090909,0.022,2.1092596498629,40
"21","{CookBks,DoItYBks,ArtBks,ItalArt} => {ChildBks}",0.02,0.740740740740741,0.027,1.75116014359513,40
"22","{ChildBks,CookBks,ArtBks,ItalArt} => {DoItYBks}",0.02,0.666666666666667,0.03,2.36406619385343,40
"23","{ChildBks,CookBks,DoItYBks,ItalArt} => {ArtBks}",0.02,1,0.02,4.149377593361,40
"24","{ChildBks,YouthBks,RefBks,ItalCook} => {CookBks}",0.0245,1,0.0245,2.32018561484919,49
