"rules","support","confidence","coverage","lift","count"
"1","{Harry.Potter2} => {Harry.Potter1}",0.1,1,0.1,5,1
"2","{Braveheart} => {Patriot}",0.1,1,0.1,1.66666666666667,1
"3","{Braveheart} => {Gladiator}",0.1,1,0.1,1.42857142857143,1
"4","{LOTR} => {Green.Mile}",0.1,1,0.1,5,1
"5","{LOTR} => {Gladiator}",0.1,1,0.1,1.42857142857143,1
"6","{LOTR} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"7","{LOTR1} => {LOTR2}",0.2,1,0.2,5,2
"8","{LOTR2} => {LOTR1}",0.2,1,0.2,5,2
"9","{Green.Mile} => {Sixth.Sense}",0.2,1,0.2,1.66666666666667,2
"10","{Patriot} => {Gladiator}",0.6,1,0.6,1.42857142857143,6
"11","{Gladiator} => {Patriot}",0.6,0.857142857142857,0.7,1.42857142857143,6
"12","{Sixth.Sense} => {Gladiator}",0.5,0.833333333333333,0.6,1.19047619047619,5
"13","{Patriot,Braveheart} => {Gladiator}",0.1,1,0.1,1.42857142857143,1
"14","{Gladiator,Braveheart} => {Patriot}",0.1,1,0.1,1.66666666666667,1
"15","{LOTR,Green.Mile} => {Gladiator}",0.1,1,0.1,1.42857142857143,1
"16","{Gladiator,LOTR} => {Green.Mile}",0.1,1,0.1,5,1
"17","{Gladiator,Green.Mile} => {LOTR}",0.1,1,0.1,10,1
"18","{LOTR,Green.Mile} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"19","{Sixth.Sense,LOTR} => {Green.Mile}",0.1,1,0.1,5,1
"20","{Gladiator,LOTR} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"21","{Sixth.Sense,LOTR} => {Gladiator}",0.1,1,0.1,1.42857142857143,1
"22","{LOTR1,Harry.Potter1} => {LOTR2}",0.1,1,0.1,5,1
"23","{Harry.Potter1,LOTR2} => {LOTR1}",0.1,1,0.1,5,1
"24","{LOTR1,Harry.Potter1} => {Green.Mile}",0.1,1,0.1,5,1
"25","{LOTR1,Green.Mile} => {Harry.Potter1}",0.1,1,0.1,5,1
"26","{Harry.Potter1,Green.Mile} => {LOTR1}",0.1,1,0.1,5,1
"27","{LOTR1,Harry.Potter1} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"28","{Sixth.Sense,LOTR1} => {Harry.Potter1}",0.1,1,0.1,5,1
"29","{Sixth.Sense,Harry.Potter1} => {LOTR1}",0.1,1,0.1,5,1
"30","{LOTR1,Green.Mile} => {LOTR2}",0.1,1,0.1,5,1
"31","{LOTR2,Green.Mile} => {LOTR1}",0.1,1,0.1,5,1
"32","{Sixth.Sense,LOTR1} => {LOTR2}",0.1,1,0.1,5,1
"33","{Sixth.Sense,LOTR2} => {LOTR1}",0.1,1,0.1,5,1
"34","{LOTR1,Green.Mile} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"35","{Sixth.Sense,LOTR1} => {Green.Mile}",0.1,1,0.1,5,1
"36","{Harry.Potter1,LOTR2} => {Green.Mile}",0.1,1,0.1,5,1
"37","{Harry.Potter1,Green.Mile} => {LOTR2}",0.1,1,0.1,5,1
"38","{LOTR2,Green.Mile} => {Harry.Potter1}",0.1,1,0.1,5,1
"39","{Harry.Potter1,LOTR2} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"40","{Sixth.Sense,Harry.Potter1} => {LOTR2}",0.1,1,0.1,5,1
"41","{Sixth.Sense,LOTR2} => {Harry.Potter1}",0.1,1,0.1,5,1
"42","{Harry.Potter1,Green.Mile} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"43","{Sixth.Sense,Harry.Potter1} => {Green.Mile}",0.1,1,0.1,5,1
"44","{LOTR2,Green.Mile} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"45","{Sixth.Sense,LOTR2} => {Green.Mile}",0.1,1,0.1,5,1
"46","{Gladiator,Green.Mile} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"47","{Sixth.Sense,Patriot} => {Gladiator}",0.4,1,0.4,1.42857142857143,4
"48","{Sixth.Sense,Gladiator} => {Patriot}",0.4,0.8,0.5,1.33333333333333,4
"49","{Gladiator,LOTR,Green.Mile} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"50","{Sixth.Sense,LOTR,Green.Mile} => {Gladiator}",0.1,1,0.1,1.42857142857143,1
"51","{Sixth.Sense,Gladiator,LOTR} => {Green.Mile}",0.1,1,0.1,5,1
"52","{Sixth.Sense,Gladiator,Green.Mile} => {LOTR}",0.1,1,0.1,10,1
"53","{LOTR1,Harry.Potter1,LOTR2} => {Green.Mile}",0.1,1,0.1,5,1
"54","{LOTR1,Harry.Potter1,Green.Mile} => {LOTR2}",0.1,1,0.1,5,1
"55","{LOTR1,LOTR2,Green.Mile} => {Harry.Potter1}",0.1,1,0.1,5,1
"56","{Harry.Potter1,LOTR2,Green.Mile} => {LOTR1}",0.1,1,0.1,5,1
"57","{LOTR1,Harry.Potter1,LOTR2} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"58","{Sixth.Sense,LOTR1,Harry.Potter1} => {LOTR2}",0.1,1,0.1,5,1
"59","{Sixth.Sense,LOTR1,LOTR2} => {Harry.Potter1}",0.1,1,0.1,5,1
"60","{Sixth.Sense,Harry.Potter1,LOTR2} => {LOTR1}",0.1,1,0.1,5,1
"61","{LOTR1,Harry.Potter1,Green.Mile} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"62","{Sixth.Sense,LOTR1,Harry.Potter1} => {Green.Mile}",0.1,1,0.1,5,1
"63","{Sixth.Sense,LOTR1,Green.Mile} => {Harry.Potter1}",0.1,1,0.1,5,1
"64","{Sixth.Sense,Harry.Potter1,Green.Mile} => {LOTR1}",0.1,1,0.1,5,1
"65","{LOTR1,LOTR2,Green.Mile} => {Sixth.Sense}",0.1,1,0.1,1.66666666666667,1
"66","{Sixth.Sense,LOTR1,LOTR2} => {Green.Mile}",0.1,1,0.1,5,1
"67","{Sixth.Sense,LOTR1,Green.Mile} => {LOTR2}",0.1,1,0.1,5,1
